,pr_predict_cc
0,0
1,0
2,0.094137553
3,0.385971608
4,3.237654708
5,0.28766827
6,19.20235815
7,7.705540452
8,0.249295864
9,0.274543967
10,0.475222038
11,4.249647472
12,0.175060465
13,1.862888975
14,1.166729172
15,0
16,0.121570747
17,0.198754067
18,0.86782731
19,4.571347586
20,0.179055047
21,0.600109734
22,13.89526038
23,3.135838489
24,6.150683112
25,0.966342244
26,0.436479413
27,0.292954025
28,1.446343098
29,0
30,0.091378146
31,7.871538925
32,4.51663043
33,13.66029616
34,6.965623481
35,7.120068963
36,2.517752819
37,11.36937204
38,4.154532983
39,0
40,0.596954477
41,0.64372046
42,0.203294464
43,0.053577061
44,0.068431616
45,0.348883981
46,0
47,14.11288764
48,0.131607868
49,0.209351308
50,1.839124954
51,0.542863271
52,0.099424424
53,0.004672846
54,0
55,1.183611813
56,1.547820957
57,0.23700166
58,2.813178601
59,6.564070202
60,0.314632238
61,0.445752387
62,0.238070061
63,0.07199054
64,0.223818679
65,0.071835771
66,2.647930691
67,0
68,0.027947889
69,0.134634666
70,0.106196125
71,0.024801361
72,7.388986086
73,6.031828877
74,5.550030248
75,3.463963424
76,9.297790231
77,4.402658227
78,0.852338731
79,1.757061265
80,0.208079554
81,0.103183952
82,0.153689705
83,1.935732958
84,0
85,0.088728732
86,0.206780475
87,0.220283234
88,0.021541796
89,0.12991175
90,0.041971299
91,0.022669972
92,0.095197359
93,0.086193375
94,0.040903498
95,5.491143706
96,4.983718805
97,0
98,0.038462431
99,0.024087754
100,0.108543547
101,0
102,0
103,0
104,0
105,0
106,0
107,0.013735459
108,0.115521877
109,0.122247517
110,2.568352349
111,0.179570101
112,0.097675662
113,0.093815926
114,0.161253825
115,0.022593411
116,0
117,0.095296794
118,0.13294923
119,0.845897084
120,0.112576624
121,0.103647218
122,0.032598024
123,0.082857373
124,0
125,1.394885374
126,2.796339026
127,0.107724429
128,1.14247629
129,2.750130719
130,0.218629281
131,0.071862196
132,0.318946139
133,4.918844247
134,3.700136429
135,0.129232046
136,0
137,0
138,0
139,0.060224559
140,0.04176468
141,0.126342971
142,0.00638317
143,0.792423062
144,0
145,0.133257915
146,0.081378909
147,0
148,0.132108487
149,0
150,0.133017364
151,0.208002747
152,4.434037611
153,1.217681663
154,0.666975731
155,8.657357574
156,0.083005277
157,0.052685434
158,0.11122246
159,0.107621172
160,2.052353196
161,1.45628302
162,0.119988215
163,0.046567262
164,0.030102512
165,0.034863407
166,0.05674796
167,0.533081536
168,0.223194024
169,0
170,0
171,0.151697857
172,0.033611831
173,0.046198298
174,0.026799952
175,0.105590869
176,0.088221129
177,3.390794258
178,0.070496228
179,0.139025827
180,0.028827662
181,0.090712499
182,0.001885826
183,0
184,0
185,0.04181387
186,0.029831384
187,0.097528988
188,0.138641847
189,0.122699665
190,0.105900881
191,0.057008878
192,0.272673327
193,8.509573328
194,0.005840679
195,0.073265825
196,0.107702577
197,0.080386057
198,0.164840054
199,18.15189566
200,0.502322323
201,0.003796044
202,0.022918617
203,0
204,0.057721302
205,4.892945535
206,0.059310169
207,2.79537017
208,0
209,0.088179507
210,0.078828965
211,0.107346307
212,0.140989064
213,0
214,0.50589796
215,3.300291154
216,0.751990408
217,0.135031386
218,0.10149663
219,0
220,0
221,0.073084525
222,0.005908044
223,0
224,0.033612125
225,0
226,0.011038759
227,0.11367255
228,0.118581721
229,0.128970265
230,0.106445104
231,0.052344701
232,7.29408121
233,0.189132795
234,0.169547606
235,0.070285401
236,0.102109262
237,0.041483998
238,0.009673033
239,0.00824804
240,0.103191241
241,0
242,3.058039111
243,4.072860114
244,4.005789651
245,0.10963007
246,0.105614792
247,0.02780746
248,0.145989579
249,0.043546329
250,0.120799445
251,0.165136676
252,0.047476107
253,0.132267745
254,0.021140482
255,0.070809489
256,0.120484908
257,0.094634694
258,0.536555313
259,0.135618828
260,0.020039326
261,0
262,0.055005429
263,0.581737747
264,0
265,0.086264215
266,2.124638128
267,0.610508947
268,0.089383891
269,0.146699761
270,6.603889165
271,0.011247093
272,0.096444421
273,0.011841316
274,0.103811059
275,0.134361594
276,12.59333448
277,14.2181859
278,0.190757748
279,0.341174814
280,1.368423397
281,2.992074231
282,21.75858875
283,4.01549222
